hour, ozeOutput, coalPlantOutput, ozeLimit, SoC, currentDemand, balance, status
18, 137.8, 0.0, 99999.9,0, 459.00, -97.15, CRITICAL
19, 144.6, 0.0, 99999.9,0, 489.00, -344.38, CRITICAL
20, 237.6, 0.0, 99999.9,3, 223.00, 14.59, STABLE
21, 508.1, 0.0, 99999.0,60, 223.00, 285.11, STABLE
22, 628.3, 0.0, 99999.0,100, 223.00, 405.27, STABLE
23, 423.3, 200.0, 423.3,100, 223.00, 400.30, STABLE
0, 23.0, 200.0, 23.0,100, 193.00, 30.00, STABLE
1, 0.0, 200.0, 0.0,100, 193.00, 7.00, STABLE
2, 0.0, 200.0, 0.0,100, 193.00, 7.00, STABLE
3, 0.0, 200.0, 0.0,100, 193.00, 7.00, STABLE
4, 0.0, 200.0, 0.0,100, 193.00, 7.00, STABLE
5, 0.0, 200.0, 0.0,100, 193.00, 7.00, STABLE
6, 0.0, 200.0, 0.0,100, 193.00, 7.00, STABLE
7, 0.0, 200.0, 0.0,48, 459.00, 0.00, CRITICAL
8, 950.7, 200.0, 99999.9,100, 539.00, 611.73, STABLE
9, 598.0, 200.0, 598.0,100, 539.00, 259.00, STABLE
10, 339.0, 200.0, 339.0,100, 539.00, 0.00, STABLE
11, 861.7, 200.0, 99999.0,100, 459.00, 602.69, STABLE
12, 259.0, 200.0, 259.0,100, 459.00, 0.00, CRITICAL
13, 727.4, 200.0, 99999.9,100, 509.00, 418.43, STABLE
14, 309.0, 200.0, 309.0,100, 459.00, 50.00, STABLE
15, 259.0, 200.0, 259.0,100, 459.00, 0.00, STABLE
16, 859.4, 200.0, 99999.0,100, 459.00, 600.38, STABLE
17, 259.0, 200.0, 259.0,100, 459.00, 0.00, STABLE
18, 723.3, 200.0, 99999.0,100, 509.00, 414.26, STABLE
19, 309.0, 200.0, 309.0,100, 489.00, 20.00, STABLE
20, 289.0, 200.0, 289.0,100, 223.00, 266.00, STABLE
21, 23.0, 200.0, 23.0,100, 223.00, 0.00, STABLE
22, 1054.5, 200.0, 99999.0,100, 223.00, 1031.51, STABLE
